id,Jelly White,Jelly Milk,Jelly Black,Amandina,Crème brulée,Triangolo,Tentation noir,Comtesse,Noblesse,Noir authentique,Passion au lait,Arabia,Stracciatella
1000777,0,1,0,0,1,0,1,0,0,0,0,1,1
1000818,0,0,1,2,0,1,0,1,0,0,0,0,0
1000830,0,0,0,0,1,0,0,0,0,2,2,0,0
1000762,0,2,0,1,1,0,0,0,0,1,0,0,2
1000776,0,0,0,0,0,0,0,0,2,2,0,0,0
1000760,0,0,0,1,0,2,0,1,0,1,0,0,0
1000774,0,0,0,1,0,1,0,0,0,1,0,1,1
1000775,0,0,1,0,0,0,0,2,0,0,0,0,0
1000761,0,0,0,0,0,0,0,1,0,0,0,2,0
1000759,0,1,0,0,1,0,2,0,0,1,0,0,0
1000822,2,2,3,1,0,0,0,0,0,0,0,0,0
1000823,0,0,0,1,1,1,0,1,1,1,0,0,0
1000770,0,0,0,1,0,0,0,0,0,2,2,0,0
1000764,0,0,0,0,1,0,0,3,0,0,0,0,0
1000758,0,0,0,0,1,0,0,1,0,0,0,0,0
1000766,0,0,0,1,0,0,1,0,0,0,0,0,0
1000835,0,1,1,1,0,0,1,0,0,0,0,0,1
1000809,0,0,0,1,0,0,1,0,0,0,1,1,1
1000767,0,0,0,0,0,1,0,0,0,1,0,2,0
1000773,0,0,0,1,1,1,0,0,1,1,0,0,0
1000798,0,0,0,0,1,1,0,0,0,0,1,1,0
1000847,0,0,0,1,2,0,0,2,0,0,0,0,0
1000853,0,1,0,2,0,1,0,0,0,0,0,0,0
1000852,0,0,0,0,0,0,1,0,0,1,0,2,0
1000845,0,0,0,0,2,0,0,1,0,2,0,0,1
1000848,0,0,0,0,2,0,0,0,0,0,0,1,2
1000781,1,1,1,0,0,0,0,1,1,0,0,1,0
1000757,0,0,2,0,0,0,0,1,0,0,1,1,0
1000794,0,0,0,0,0,2,0,0,0,0,0,0,2
1000782,0,0,0,2,2,0,0,0,0,2,0,0,0
1000796,0,0,2,0,0,0,2,0,0,0,0,0,0
1000769,0,0,0,0,0,1,0,0,1,0,0,0,0
1000806,2,0,0,0,1,0,0,1,1,0,0,0,0
1000813,0,2,0,0,0,0,0,0,4,0,0,1,0
1000783,0,2,0,0,0,0,1,0,1,0,1,1,0
1000778,2,0,0,0,0,2,2,0,0,0,0,0,0
1000786,0,0,0,0,1,0,1,0,1,0,1,1,0
1000790,1,1,0,0,0,0,2,0,0,0,2,0,0
1000784,0,0,2,0,0,0,0,2,0,0,0,0,0
1000800,0,0,0,2,0,2,2,0,0,0,0,0,0
1000829,2,0,2,1,0,0,0,0,0,0,1,0,0
